"index","var","name","volume","date"
1.52166064981949,1.47418351278586,"Warren",707,"06-18-2019"
0.952293577981651,1.67944016128849,"Buttigieg",733,"06-18-2019"
0.554455445544555,1.39492795882764,"Booker",168,"06-18-2019"
1.32044198895028,1.50460274455473,"Harris",461,"06-18-2019"
-1.57608695652174,1.66394217017641,"Castro",155,"06-18-2019"
-0.936170212765957,1.36458875334573,"Inslee",138,"06-18-2019"
-1.7887323943662,1.7060634512273,"Hickenlooper",120,"06-18-2019"
1.30275229357798,1.3623556365692,"yang",225,"06-18-2019"
2,1.4135907630333,"Klobuchar",222,"06-25-2019"
1.56969696969697,1.33038651236712,"O'Rourke",199,"06-25-2019"
0.298507462686567,1.51126988697286,"Biden",2048,"06-25-2019"
0.324137931034483,1.61726189915391,"Gillibrand",180,"06-25-2019"
